id,text
1,Ich habe ein Haustier. Mein Haustier ist eine Katze. Sie heißt Luna. Luna ist schwarz und weiß. Sie ist sehr süß und spielt gerne mit einem Ball. Luna frisst gerne Fisch und trinkt Milch. Ich füttere sie jeden Tag. Sie schläft oft auf meinem Bett. Ich mag meine Katze sehr.
2,"Künstliche Intelligenz (KI) hat in den letzten Jahren eine enorme Bedeutung erlangt und findet Anwendung in zahlreichen Bereichen wie Gesundheitswesen, Finanzen, Verkehr und Unterhaltung. Durch komplexe Algorithmen kann KI große Datenmengen analysieren, was beispielsweise bei der Vorhersage von Krankheiten, der Optimierung von Finanzstrategien und der Entwicklung autonomer Fahrzeuge hilfreich ist."
3,"Mein Lieblingsessen ist Pizza. Ich esse gerne Pizza mit Käse und Schinken. Manchmal mag ich auch Pizza mit Gemüse. Ich bestelle oft Pizza zum Abendessen oder am Wochenende. Für meine Pizza brauche ich Tomatensauce, Käse, Schinken und Gemüse. Zuerst lege ich den Teig auf ein Backblech. Dann streiche ich die Tomatensauce darauf. Als nächstes streue ich den Käse über die Sauce. Danach lege ich den Schinken und das Gemüse auf die Pizza. Die Pizza kommt dann in den Ofen, wo sie etwa 15 Minuten lang backt. Wenn sie fertig ist, nehme ich sie aus dem Ofen und lasse sie kurz abkühlen. Dann schneide ich sie in Stücke und genieße meine selbstgemachte Pizza! Ich mag Pizza, weil sie lecker und einfach zuzubereiten ist. Es ist mein Lieblingsessen!"
4,"Informatik ist die Wissenschaft von der systematischen Verarbeitung von Informationen, insbesondere der automatischen Verarbeitung mit Digitalrechnern. Sie umfasst die theoretischen Grundlagen der Informations- und Computertechnik sowie die Praxis der Anwendung dieser Grundlagen zur Informationsverarbeitung und -übertragung."
5,"Fußball ist eine beliebte Sportart, die weltweit gespielt wird. Es gibt elf Spieler in jeder Mannschaft, die versuchen, den Ball ins gegnerische Tor zu schießen. Fußball erfordert Teamarbeit, Geschicklichkeit und Ausdauer. Viele Menschen schauen gerne Fußballspiele im Fernsehen oder im Stadion."
6,"Die Erde ist der dritte Planet in unserem Sonnensystem. Sie ist der einzige Planet, auf dem bekannterweise Leben existiert. Die Erde hat eine feste Oberfläche, die von Ozeanen und Kontinenten bedeckt ist. Das Klima auf der Erde variiert je nach geografischer Lage und Jahreszeit."
7,"Die Geschichte der Menschheit reicht viele tausend Jahre zurück. Menschen haben im Laufe der Zeit Kulturen entwickelt, Sprachen erfunden, Technologien geschaffen und die Welt erkundet. Historische Ereignisse haben die Entwicklung der Gesellschaft und das Verständnis der Vergangenheit geprägt."
8,"Ein Buch ist eine gedruckte oder digitale Publikation, die aus Texten oder Bildern besteht und Informationen oder Geschichten vermittelt. Bücher werden oft zum Lesen, Lernen oder zur Unterhaltung verwendet. Es gibt verschiedene Genres von Büchern, darunter Romane, Sachbücher, Biografien und Fantasy."
9,"Musik ist eine Kunstform, die Klänge und Töne verwendet, um Emotionen auszudrücken oder eine Botschaft zu vermitteln. Musik kann mit verschiedenen Instrumenten oder der menschlichen Stimme erzeugt werden. Es gibt viele Musikgenres wie Klassik, Pop, Rock, Jazz und Hip-Hop."
10,"Der Mond ist der einzige natürliche Satellit der Erde. Er umkreist die Erde in einer elliptischen Umlaufbahn. Der Mond hat Phasen, die durch die Position des Sonnenlichts auf seiner Oberfläche verursacht werden. Der Mond beeinflusst auch Gezeiten auf der Erde."
11,"Das Internet ist ein globales Netzwerk von miteinander verbundenen Computern und Geräten. Es ermöglicht den Austausch von Informationen, Kommunikation und den Zugriff auf Ressourcen über das World Wide Web. Das Internet hat die Art und Weise, wie Menschen arbeiten, lernen und miteinander interagieren, revolutioniert."
12,"Die Renaissance war eine kulturelle Bewegung in Europa, die im 14. Jahrhundert begann und bis zum 17. Jahrhundert dauerte. Sie war gekennzeichnet durch eine Wiederbelebung des Interesses an Kunst, Literatur, Wissenschaft und Philosophie der Antike. Die Renaissance hatte einen tiefgreifenden Einfluss auf die Entwicklung der westlichen Kultur."
